atomical_number,atomical_id,atommap_number,sort,atomical_bitworkc,filepath,bitworkc_number
63718,ab7555a33ea0fa6ce8ad902cf3875c6afa8d4e8c56593b020ab42b34353b859fi0,7555,0,ab7555,7555.atommap.svg,7555
63719,ab8887d711c7a0757638d52a5eeaa95783dea5ed7a3af3f874cf4ce230ff2591i0,8887,0,ab8887,8887.atommap.svg,8887
63722,ab31314b0875be8326c32222f62fa7d504b495e2297d2e8178d762d7b5b16f9ai0,3131,0,ab3131,3131.atommap.svg,3131
63736,ab668302a293901a82aa309c4964cd55a2ccae86967e98ba12b253199a60f730i0,6683,0,ab6683,6683.atommap.svg,6683
63737,ab7415d167edf372fbe1f43c123240f1ffe56abeb3cad90dd66a9d71ff795ed2i0,7415,0,ab7415,7415.atommap.svg,7415
63738,ab7413abf16291c5a86375723c09311a1eb5e1b032dc71e4828a419aaf4ff5a1i0,7413,0,ab7413,7413.atommap.svg,7413
63739,ab2228870864da4bbb60a2a86bd35d583de8b5ad66e9c2866f3e99a9abc7ff1fi0,2228,0,ab2228,2228.atommap.svg,2228
63742,ab74104f57b1e0ea60de8e265e485bda15b8d681449c2df632848ef9cce5a546i0,7410,0,ab7410,7410.atommap.svg,7410
63743,ab9669b19f44b13c21142155e6df922aa81c516a270fad89fc31d2b19d37fe37i0,9669,0,ab9669,9669.atommap.svg,9669
63752,ab4204c741d14a6ea1c248131a8cc4a301342fc906a42faa791cf3a6e9320d85i0,420,3,ab420,420.atommap.svg,420
63757,ab2582d5db623209458a0d340c81a9bcdd7de5d361703a8a94eb86eeefbe2ea5i0,2582,0,ab2582,2582.atommap.svg,2582
63758,ab660c39be4cb4941cfdd95a373836234f6b2f90b2698e47d310750e818bd92ei0,660,3,ab660,660.atommap.svg,660
63759,ab74212d0424f55c6f51220f9b01910729d271032be96fc6fb79536a45bb15e1i0,7421,0,ab7421,7421.atommap.svg,7421
63760,ab7417ed97270bc6a969a5557c49f2a87d2e4c1af25089c2acbf383962afa954i0,7417,0,ab7417,7417.atommap.svg,7417
63761,ab8666d3d0a68772cfda663c065c87800bfe84753c22a1605c841dda92dff7d1i0,8666,0,ab8666,8666.atommap.svg,8666
63769,ab33449f53b6017b3e9a1108edddc998eac2822164a132f1150b24e66e30f62fi0,3344,0,ab3344,3344.atommap.svg,3344
63776,ab33119431dbbfd17872a8d7b9db88488ed31ff0915198b299a95782715b9c37i0,3311,0,ab3311,3311.atommap.svg,3311
63785,ab73059a7e23ee22c6065dbbea188ffe270b1a4f36dd17c66a82c6e19a0e796bi0,730,2,ab730,730.atommap.svg,730
63786,ab1965e379bece8f0e00b1f7181dba8a8c14bbcf30a360f08f0a0e2aa1a29d12i0,196,2,ab196,196.atommap.svg,196
63792,ab74181a13c81b3e93ea5260276f78172492e0eb3b4e69268b5a5caaf94daa5bi0,7418,0,ab7418,7418.atommap.svg,7418
63831,ab19186f78adc39bb01bf4730a4420c1983a0db79968c9d7de1b5769a3bb777ai0,1918,0,ab1918,1918.atommap.svg,1918
63832,ab166b2a74ecad3a390ab81db2e344f8a0438ad1b771452c8bf5e46db69e4fa3i0,166,1,ab166,166.atommap.svg,166
63833,ab818b4323f643d5fa3b43b205f5db21e03b2d90f383dfcabdbdf84e15db0933i0,818,1,ab818,818.atommap.svg,818
63834,ab155ecf00fc451237542bac63cd1dd692a6b91527c31eb775ab46a67bbe72cdi0,155,2,ab155,155.atommap.svg,155
63840,ab636a86e37bfa18fde918288426876c819a46706ce6191dc8eef8babc87de9bi0,636,1,ab636,636.atommap.svg,636
63845,ab1034da8ea54e791113426968b39a31bf59875bf5db3c544a577ae74b24cd2di0,1034,0,ab1034,1034.atommap.svg,1034
63848,ab1044cf2a1b5adc270a54f4d6bd3bcad9e69b36032e96e8a6838a410203e38bi0,1044,0,ab1044,1044.atommap.svg,1044
63857,ab10407503dff5d2d633b5a5abb60372ed28710e1ff93ea9b4c20339af79f9dei0,1040,0,ab1040,1040.atommap.svg,1040
63858,ab10398af622b3ca97e09cd331a3adc9eedfac3830a9aa4cb9ab9cb9e336f196i0,1039,0,ab1039,1039.atommap.svg,1039
63870,ab11736ad717bd1d0d605fd96a7fab2566387276ef4aea28e521ac05f0117be3i0,1173,0,ab1173,1173.atommap.svg,1173
63871,ab264114701c9eb2a1d70ea63dfb1287363ad24fe9d4c97c3f362b06b8f52316i0,2641,0,ab2641,2641.atommap.svg,2641
63883,ab1525fcc8d51ad66befa15046f4f7893f88267b29261dda4a1633378cc6fc54i0,1525,0,ab1525,1525.atommap.svg,1525
63896,ab9995434414a8ad4706f23c7de014ab912ed601645be56cb0a7b908ab4d4483i0,9995,0,ab9995,9995.atommap.svg,9995
63897,ab7779bc07c6bd683160dde27f68e2bc572e6773b7af21a95a88e5601549edabi0,7779,0,ab7779,7779.atommap.svg,7779
63940,ab1053ac72942748c21aaa8f127af706bcd774e1b6e75214495ca3b84c4de498i0,1053,0,ab1053,1053.atommap.svg,1053
63941,ab74223cffffd180578ca53691c430033b63c18e89907e7a0fcac30624a12606i0,7422,0,ab7422,7422.atommap.svg,7422
63943,ab741470fcf45657ab032fd3adbdf268accd6ce503cd55611a2e12a0a6814c00i0,7414,0,ab7414,7414.atommap.svg,7414
63946,ab6529053cea118b57ef892dafc17b666cddd54d9c7f1849da8f0903b0f96efci0,6529,0,ab6529,6529.atommap.svg,6529
63948,ab77601a344d2bdf4829cf0d851d94daa3124739add4ffc34f401786b07e69cfi0,776,2,ab776,776.atommap.svg,776
63950,ab2016096185a4112ef8139739e56aeebe94fd0c830350ee523acb3127339eeci0,2016,0,ab2016,2016.atommap.svg,2016
63951,ab2028c7b3ba242fb01879b2fbe1cff2399f10d603fa1108859329097c9fd643i0,2028,0,ab2028,2028.atommap.svg,2028
